Democrat Strength Rating,State,CD#,2018 Cook PVI Score,2018 Winner,Party,Dem Votes,GOP Votes,Other Votes,Dem %,GOP %,Other %,Dem Margin,2016 Clinton Margin,Swing vs. 2016 Prez,2016 Total Votes Cast,Raw Votes vs. 2016,Final?,2012 Winner,2016 winner,Pre-Election Rating,PVI Performance
121,New York,20,7,Paul Tonko,D,"176,811","89,058",0,66.50%,33.50%,0.00%,33.00%,13.30%,19.70%,"329,220",80.80%,x,Obama ,Clinton,Solid D,
113,Tennessee,5,7,Jim Cooper,D,"177,923","84,317",8,67.80%,32.20%,0.00%,35.70%,18.20%,17.50%,"279,441",93.80%,x,Obama ,Clinton,Solid D,
161,Ohio,13,7,Tim Ryan,D,"153,323","98,047",0,61.00%,39.00%,0.00%,22.00%,6.50%,15.50%,"319,864",78.60%,x,Obama ,Clinton,Solid D,
147,Missouri,5,7,Emanuel Cleaver,D,"175,019","101,069","7,697",61.70%,35.60%,2.70%,26.10%,14.80%,11.30%,"327,471",86.70%,x,Obama ,Clinton,Solid,
142,Pennsylvania,4,7,Madeleine Dean,D,"211,524","121,467",0,63.50%,36.50%,0.00%,27.00%,19.40%,7.60%,"382,477",87.10%,x,Obama ,Clinton,Solid D,
156,New Mexico,1,7,Deb Haaland,D,"147,336","90,507","11,319",59.10%,36.30%,4.50%,22.80%,16.50%,6.30%,"285,170",87.40%,x,Obama ,Clinton,Solid D,
163,Texas,15,7,Vicente Gonzalez,D,"98,333","63,862","2,607",59.70%,38.80%,1.60%,20.90%,16.60%,4.30%,"185,819",88.70%,x,Obama ,Clinton,Solid D,
152,California,26,7,Julia Brownley,D,"158,216","97,210",0,61.90%,38.10%,0.00%,23.90%,21.40%,2.50%,"298,769",85.50%,x,Obama ,Clinton,Solid D,
159,Connecticut,4,7,Jim Himes,D,"168,726","106,921",4,61.20%,38.80%,0.00%,22.40%,23.00%,-0.60%,"328,790",83.80%,x,Obama ,Clinton,Solid D,
174,California,24,7,Salud Carbajal,D,"166,550","117,881",0,58.60%,41.40%,0.00%,17.10%,19.90%,-2.80%,"316,384",89.90%,x,Obama ,Clinton,Solid D,
