,CD_ID,State,CD,2020_dem_pct,2020_GOP_pct,Dem_2018_Vote_Share,GOP_2018_Vote_Share,2016_dem_vote_pct,2016_GOP_vote_pct,2018_Cook_PVI_Score,white_pct_pop,black_pct_pop,hispanic_pct_pop,asian_pct_pop,other_race_pct_pop,white_non_college_pct_pop,white_ba_pct_pop,black_non_college_pct_dis,black_ba_pct_dis,hispanic_non_college_pct_pop,hispanic_ba_pct_pop,asian_non_college_pct_pop,asian_ba_pct_pop,2020_dem_margin,City_Lab_Congressional_Index_Dense suburban,City_Lab_Congressional_Index_Pure rural,City_Lab_Congressional_Index_Pure urban,City_Lab_Congressional_Index_Rural-suburban mix,City_Lab_Congressional_Index_Sparse suburban,City_Lab_Congressional_Index_Urban-suburban mix
262,NJ-11,NJ,11,53.3,46.7,56.8,42.1,38.7,58.2,-3,74.18628551,4.149179029,10.14779832,10.77735328,0.7393838599,30.96469001,43.2215955,2.48527116,1.663907869,6.671909689,3.475888633,2.661978019,8.115375262,6.599999999999994,0,0,0,0,1,0
263,NJ-12,NJ,12,65.6,32.6,68.7,31.3,62.6,32.3,16,49.06133627,17.80916366,14.95601004,17.280055,0.8934350195,24.00636083,25.05497545,13.26420671,4.544956951,11.7408347,3.215175336,3.562024786,13.71803022,32.99999999999999,1,0,0,0,0,0
264,NM-1,NM,1,58.2,41.8,59.1,36.3,65.1,34.9,7,43.92903619,2.433615563,45.84644275,2.922644835,4.868260662,22.14777538,21.78126081,1.595162008,0.8384535556,36.92284251,8.923600244,1.565305484,1.357339351,16.400000000000006,1,0,0,0,0,0
265,NM-2,NM,2,46.3,53.7,50.9,49.1,37.2,62.8,-6,41.23637978,2.077389618,49.896087,0.0,6.790143607,29.06278086,12.17359892,1.715924695,0.3614649231,43.41800883,6.478078164,0.0,0.0,-7.400000000000006,0,0,0,1,0,0
266,NM-3,NM,3,58.7,41.3,63.4,31.2,62.5,37.5,8,42.35430406,1.660520826,37.18347882,1.447756196,17.3539401,24.03928346,18.3150206,1.120809961,0.5397108647,30.77454229,6.40893653,0.6979844555,0.7497717408,17.400000000000006,0,1,0,0,0,0
267,NV-1,NV,1,61.8,33.4,66.2,30.9,61.8,28.8,15,34.64128669,11.22813431,39.75842742,10.70276221,3.669389373,26.8134888,7.827797894,9.999116849,1.229017464,36.3977301,3.36069732,6.518064544,4.184697665,28.4,0,0,0,0,0,1
268,NV-2,NV,2,40.7,56.5,41.8,58.2,36.9,58.3,-7,70.90095943,1.706749268,18.53738142,4.609789204,4.245120673,48.94041169,21.96054774,1.295482055,0.4112672135,16.77320556,1.764175861,2.360677672,2.249111531,-15.799999999999997,0,0,0,1,0,0
269,NV-3,NV,3,48.8,45.8,51.9,42.8,47.2,46.0,-2,58.92518735,8.00521839,14.17944559,14.6345907,4.255557959,36.99851484,21.92667251,6.025873975,1.979344415,11.55626117,2.623184422,7.88224137,6.752349333,3.0,0,0,0,0,0,1
270,NV-4,NV,4,50.7,45.8,51.9,43.7,48.5,44.5,3,48.51151954,15.47227621,26.21676757,6.365789484,3.433647192,35.62809818,12.88342136,12.6257143,2.84656191,23.73242511,2.484342461,4.068062483,2.297727001,4.900000000000006,0,0,0,0,0,1
271,NY-1,NY,1,45.1,54.8,47.4,51.5,41.0,59.0,-5,76.55988869,4.704854586,14.4929912,3.514797252,0.7274682745,44.73699993,31.82288876,3.282703087,1.422151499,12.19603861,2.29695259,1.242233542,2.272563711,-9.699999999999996,0,0,0,0,1,0
272,NY-2,NY,2,46.0,52.9,46.9,53.1,37.6,62.4,-3,64.34911973,9.770817386,20.08588689,4.189198087,1.604977901,40.66149781,23.68762192,7.097294583,2.673522803,16.41336823,3.672518663,2.050256385,2.138941702,-6.899999999999999,1,0,0,0,0,0
273,NY-3,NY,3,55.9,43.4,59.0,41.0,52.4,47.6,1,69.50977468,2.651515152,9.533370046,16.25384333,2.051496795,28.70355498,40.80621969,1.54765729,1.103857862,6.334610619,3.198759427,6.008979242,10.24486409,12.5,1,0,0,0,0,0
274,NY-4,NY,4,56.1,43.0,61.3,38.7,59.4,40.6,4,55.8741795,15.14941136,19.78403651,7.750131888,1.442240749,26.7022422,29.1719373,10.21335514,4.936056215,15.2521764,4.531860106,3.127469842,4.622662046,13.100000000000001,0,0,0,0,0,1
