,State,First_Name,Last_Name,State_Abbr,Party,Gender,DW_Nomininate_Score,Votes_with_Party_Pct,Votes_against_party_pct,Missed_votes_pct,Total_votes,Ranking,Next_election,Seniority,in_office,Senator,merge_id,election_year,previous_vote_share,years_served,inc_running,2020_pres_can,past_pres-can,votes_trump_era,trump_agree_pct,predicted_trump_agree,net_trump_vote_2016,fb_status_inaguration,fb_reform_status_now,Link to Source
75,Pennsylvania,Patrick,Toomey,PA,R,M,0.635,91.63,8.37,5.8,448,junior,2022,11,True,Patrick Toomey,Toomey-PA,2022,48.8,12,1,0,0,124,85.483871,50.44324100000001,0.72426964,No,No,No Senate R’s support filibuster reform at this time
77,Rhode Island,Jack,Reed,RI,D,M,-0.367,99.33,0.67,0.0,448,senior,2026,25,True,Jack Reed,Reed-RI,2026,66.5,30,1,0,0,129,23.255814,27.787962999999998,-15.50854907,No,Maybe,https://www.nytimes.com/2021/01/26/us/filibuster-senate.html
76,Rhode Island,Sheldon,Whitehouse,RI,D,M,-0.355,99.1,0.9,0.45,448,junior,2024,15,True,Sheldon Whitehouse,Whitehouse-RI,2024,61.4,18,1,0,0,127,22.8346457,27.700335,-15.50854907,Maybe,Maybe,https://www.politico.com/news/2021/03/17/biden-filibuster-fight-476684
79,South Carolina,Lindsey,Graham,SC,R,M,0.392,71.71,28.29,8.26,448,senior,2026,19,True,Lindsey Graham,Graham-SC,2026,54.4,24,1,0,1,121,85.9504132,74.736222,14.2659129,No,No,No Senate R’s support filibuster reform at this time
78,South Carolina,Tim,Scott,SC,R,M,0.625,92.63,7.37,1.34,448,junior,2022,9,True,Tim Scott,Scott-SC,2022,60.6,9,1,0,0,127,90.5511811,73.399862,14.2659129,No,No,No Senate R’s support filibuster reform at this time
80,South Dakota,Mike,Rounds,SD,R,M,0.382,85.25,14.75,31.03,448,junior,2026,7,True,Mike Rounds,Rounds-SD,2026,65.7,12,1,0,0,120,90.0,87.284902,29.79332222,No,No,No Senate R’s support filibuster reform at this time
81,South Dakota,John,Thune,SD,R,M,0.42,96.56,3.44,0.89,448,senior,2022,17,True,John Thune,Thune-SD,2022,71.8,18,1,0,0,128,91.40625,86.387528,29.79332222,No,No,No Senate R’s support filibuster reform at this time
83,Tennessee,Marsha,Blackburn,TN,R,F,0.623,92.75,7.25,6.25,448,senior,2024,3,True,Marsha Blackburn,Blackburn-TN,2024,54.7,6,1,0,0,131,88.5496183,88.858059,26.0057009,No,No,No Senate R’s support filibuster reform at this time
82,Tennessee,Bill,Hagerty,TN,R,M,0.0,94.28,5.72,0.67,448,junior,2026,1,True,Bill Hagerty,Hagerty-TN,2026,62.2,6,1,0,0,2,0.0,11.513174,26.0057009,No,No,No Senate R’s support filibuster reform at this time
84,Texas,John,Cornyn,TX,R,M,0.48,87.79,12.21,1.34,448,senior,2026,19,True,John Cornyn,Cornyn-TX,2026,53.5,24,1,0,0,129,92.248062,65.903513,8.9994276,No,No,No Senate R’s support filibuster reform at this time
85,Texas,Ted,Cruz,TX,R,M,0.839,88.63,11.37,2.01,448,junior,2024,9,True,Ted Cruz,Cruz-TX,2024,50.9,12,1,0,1,126,92.0634921,66.34780500000001,8.9994276,No,No,No Senate R’s support filibuster reform at this time
87,Utah,Mike,Lee,UT,R,M,0.902,88.07,11.93,0.89,448,senior,2022,11,True,Mike Lee,Lee-UT,2022,68.2,12,1,0,0,127,73.2283465,78.102134,18.07933323,No,No,No Senate R’s support filibuster reform at this time
86,Utah,Mitt,Romney,UT,R,M,0.0,81.69,18.31,0.67,448,junior,2024,1,True,Mitt Romney,Romney-UT,2024,62.6,6,1,0,1,44,75.0,69.647249,18.07933323,No,No,No Senate R’s support filibuster reform at this time
90,Vermont,Patrick,Leahy,VT,D,M,-0.36,99.55,0.45,1.12,448,senior,2022,47,True,Patrick Leahy,Leahy-VT,2022,60.0,48,1,0,0,128,23.4375,20.722157,-26.40835124,Maybe,Maybe,https://vtdigger.org/2021/10/04/leahy-backs-end-to-silent-filibuster-but-is-less-clear-on-other-reforms/
91,Vermont,Bernard,Sanders,VT,ID,M,-0.531,96.3,3.7,3.57,448,junior,2024,15,True,Bernard Sanders,Sanders-VT,2024,67.4,18,1,1,1,112,16.0714286,22.053384,-26.40835124,Yes,Yes,stated recently 
88,Virginia,Tim,Kaine,VA,D,M,-0.244,99.32,0.68,1.56,448,junior,2024,9,True,Tim Kaine,Kaine-VA,2024,57.0,12,1,0,0,129,29.4573643,40.12236,-5.32370582,Maybe,Maybe,https://drive.google.com/file/d/1Zaklr2aqgru6YvFPPC73js5V4Kw9QhbO/view?usp=sharing
89,Virginia,Mark,Warner,VA,D,M,-0.203,99.77,0.23,1.34,448,senior,2026,13,True,Mark Warner,Warner-VA,2026,56.0,18,1,0,0,129,34.8837209,40.12236,-5.32370582,Maybe,Maybe,https://www.washingtonpost.com/local/mcartney-filibuster/2021/03/14/66dd3eae-8340-11eb-ac37-4383f7709abe_story.html
92,Washington,Maria,Cantwell,WA,D,F,-0.305,99.77,0.23,1.79,448,junior,2024,21,True,Maria Cantwell,Cantwell-WA,2024,58.4,24,1,0,0,128,24.21875,27.607528999999996,-15.4790881,Maybe,Maybe,https://twitter.com/SenatorCantwell/status/1390427540150538245
93,Washington,Patty,Murray,WA,D,F,-0.352,99.55,0.45,1.56,448,senior,2022,29,True,Patty Murray,Murray-WA,2022,59.0,30,1,0,0,127,23.622047199999997,28.130930999999997,-15.4790881,Maybe,Maybe,https://twitter.com/orionds/status/1375564628655276042?s=19
97,West Virginia,Shelley,Capito,WV,R,F,0.268,82.88,17.12,0.45,448,junior,2026,7,True,Shelley Capito,Capito-WV,2026,70.3,12,1,0,0,127,92.1259843,89.60024399999999,42.15364679,No,No,No Senate R’s support filibuster reform at this time
96,West Virginia,Joe,Manchin,WV,D,M,-0.058,91.55,8.45,2.23,448,senior,2024,13,True,Joe Manchin,Manchin-WV,2024,49.6,14,1,0,0,129,50.3875969,89.270586,42.15364679,No,No,https://www.washingtonpost.com/politics/manchin-filibuster-biden/2021/04/07/03635ab2-97fd-11eb-b28d-bfa7bb5cb2a5_story.html
94,Wisconsin,Tammy,Baldwin,WI,D,F,-0.492,99.11,0.89,0.0,448,junior,2024,9,True,Tammy Baldwin,Baldwin-WI,2024,55.4,12,1,0,0,128,22.65625,50.999485,0.7643432,Yes,Yes,https://www.wkow.com/news/politics/baldwin-stalled-voting-rights-bill-should-renew-talk-of-ending-filibuster/article_a9374a58-3b83-5ab8-8dba-cdb5cd05675e.html
95,Wisconsin,Ron,Johnson,WI,R,M,0.602,92.2,7.8,4.69,448,senior,2022,11,True,Ron Johnson,Johnson-WI,2022,50.2,12,1,0,0,129,86.0465116,50.907047999999996,0.7643432,No,No,No Senate R’s support filibuster reform at this time
99,Wyoming,John,Barrasso,WY,R,M,0.543,96.49,3.51,2.9,448,senior,2024,15,True,John Barrasso,Barrasso-WY,2024,67.0,17,1,0,0,129,89.1472868,89.536686,46.29527573,No,No,No Senate R’s support filibuster reform at this time
98,Wyoming,Cynthia,Lummis,WY,R,F,0.679,95.16,4.84,1.34,448,junior,2026,1,True,Cynthia Lummis,Lummis-WY,2026,72.85,6,1,0,0,2,50.0,22.525176,46.29527573,No,No,No Senate R’s support filibuster reform at this time
